county,indicator,Unit,Date,Value
Igembe South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.46032954
Igembe South,Land Area (Sq. Km),sq. km,2019,255.2
Igembe South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,633
Igembe South,Population (Excludes the special population),Persons,2019,160851
Igembe South,Number of Households,Number,2019,43281
Igembe South,Average Household size,,2019,4
Imenti North,"Population, Total",Persons,2019,177567
Imenti North,"Population, Male",Persons,2019,88506
Imenti North,"Population, Female",Persons,2019,89056
Imenti North,"Population, Intersex",Persons,2019,5
Imenti North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.38241107
Imenti North,Land Area (Sq. Km),sq. km,2019,230.8
Imenti North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,769
Imenti North,Population (Excludes the special population),Persons,2019,173876
Imenti North,Number of Households,Number,2019,57668
Imenti North,Average Household size,,2019,3
Imenti South,"Population, Total",Persons,2019,206506
Imenti South,"Population, Male",Persons,2019,103338
Imenti South,"Population, Female",Persons,2019,103162
Imenti South,"Population, Intersex",Persons,2019,6
Imenti South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.1706055
Imenti South,Land Area (Sq. Km),sq. km,2019,413.9
Imenti South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,499
Imenti South,Population (Excludes the special population),Persons,2019,205487
Imenti South,Number of Households,Number,2019,64186
Imenti South,Average Household size,,2019,3
Meru Central,"Population, Total",Persons,2019,133818
Meru Central,"Population, Male",Persons,2019,66920
Meru Central,"Population, Female",Persons,2019,66894
Meru Central,"Population, Intersex",Persons,2019,4
Meru Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.0388675
Meru Central,Land Area (Sq. Km),sq. km,2019,381.8
Meru Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,350
Meru Central,Population (Excludes the special population),Persons,2019,133165
Meru Central,Number of Households,Number,2019,39595
Meru Central,Average Household size,,2019,3
Tigania Central,"Population, Total",Persons,2019,104730
Tigania Central,"Population, Male",Persons,2019,51814
Tigania Central,"Population, Female",Persons,2019,52916
Tigania Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.91745408
Tigania Central,Land Area (Sq. Km),sq. km,2019,237.4
Tigania Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,441
Tigania Central,Population (Excludes the special population),Persons,2019,104558
Tigania Central,Number of Households,Number,2019,25039
Tigania Central,Average Household size,,2019,4
Tigania East,"Population, Total",Persons,2019,72549
Tigania East,"Population, Male",Persons,2019,35352
Tigania East,"Population, Female",Persons,2019,37194
Tigania East,"Population, Intersex",Persons,2019,3
Tigania East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,95.04758832
Tigania East,Land Area (Sq. Km),sq. km,2019,507.9
Tigania East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,143
Tigania East,Population (Excludes the special population),Persons,2019,72471
Tigania East,Number of Households,Number,2019,17185
Tigania East,Average Household size,,2019,4
Tigania West,"Population, Total",Persons,2019,139961
Tigania West,"Population, Male",Persons,2019,67715
Tigania West,"Population, Female",Persons,2019,72241
Tigania West,"Population, Intersex",Persons,2019,5
Tigania West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.73485971
Tigania West,Land Area (Sq. Km),sq. km,2019,398.6
Tigania West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,351
Tigania West,Population (Excludes the special population),Persons,2019,139312
Tigania West,Number of Households,Number,2019,36207
Tigania West,Average Household size,,2019,4
Meru National Park,"Population, Total",Persons,2019,385
Meru National Park,"Population, Male",Persons,2019,283
Meru National Park,"Population, Female",Persons,2019,102
Meru National Park,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,277.4509804
Meru National Park,Land Area (Sq. Km),sq. km,2019,868.1
Meru National Park,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Meru National Park,Population (Excludes the special population),Persons,2019,317
Meru National Park,Number of Households,Number,2019,207
Meru National Park,Average Household size,,2019,2
Mt Kenya Forest,"Population, Total",Persons,2019,463
Mt Kenya Forest,"Population, Male",Persons,2019,409
Mt Kenya Forest,"Population, Female",Persons,2019,54
Mt Kenya Forest,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,757.4074074
Mt Kenya Forest,Land Area (Sq. Km),sq. km,2019,1059.9
Mt Kenya Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Mt Kenya Forest,Population (Excludes the special population),Persons,2019,446
Mt Kenya Forest,Number of Households,Number,2019,283
Mt Kenya Forest,Average Household size,,2019,2
Igambang'ombe,"Population, Total",Persons,2019,53210
Igambang'ombe,"Population, Male",Persons,2019,26464
Igambang'ombe,"Population, Female",Persons,2019,26745
Igambang'ombe,"Population, Intersex",Persons,2019,1
Igambang'ombe,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.94933632
Igambang'ombe,Land Area (Sq. Km),sq. km,2019,324.6
Igambang'ombe,Population Density (No. per Sq. Km),No. per Sq. Km,2019,164
Igambang'ombe,Population (Excludes the special population),Persons,2019,52802
Igambang'ombe,Number of Households,Number,2019,14398
Igambang'ombe,Average Household size,,2019,4
Maara,"Population, Total",Persons,2019,114894
Maara,"Population, Male",Persons,2019,57689
Maara,"Population, Female",Persons,2019,57205
Maara,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.8460799
Maara,Land Area (Sq. Km),sq. km,2019,265.1
Maara,Population Density (No. per Sq. Km),No. per Sq. Km,2019,433
Maara,Population (Excludes the special population),Persons,2019,114734
Maara,Number of Households,Number,2019,35041
Maara,Average Household size,,2019,3
Meru South,"Population, Total",Persons,2019,91080
Meru South,"Population, Male",Persons,2019,44923
Meru South,"Population, Female",Persons,2019,46155
Meru South,"Population, Intersex",Persons,2019,2
Meru South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.3307334
Meru South,Land Area (Sq. Km),sq. km,2019,138.8
Meru South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,656
Meru South,Population (Excludes the special population),Persons,2019,90520
Meru South,Number of Households,Number,2019,28249
Meru South,Average Household size,,2019,3
Tharaka North,"Population, Total",Persons,2019,58345
Tharaka North,"Population, Male",Persons,2019,28290
Tharaka North,"Population, Female",Persons,2019,30053
Tharaka North,"Population, Intersex",Persons,2019,2
Tharaka North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.13369714
Tharaka North,Land Area (Sq. Km),sq. km,2019,838.8
Tharaka North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,70
Tharaka North,Population (Excludes the special population),Persons,2019,58252
Tharaka North,Number of Households,Number,2019,13413
Tharaka North,Average Household size,,2019,4
Tharaka South,"Population, Total",Persons,2019,75250
Tharaka South,"Population, Male",Persons,2019,36190
Tharaka South,"Population, Female",Persons,2019,39058
Tharaka South,"Population, Intersex",Persons,2019,2
Tharaka South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.65707409
Tharaka South,Land Area (Sq. Km),sq. km,2019,637
Tharaka South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,118
Tharaka South,Population (Excludes the special population),Persons,2019,74824
Tharaka South,Number of Households,Number,2019,18646
Tharaka South,Average Household size,,2019,4
Mt Kenya Forest,"Population, Total",Persons,2019,398
Mt Kenya Forest,"Population, Male",Persons,2019,208
Mt Kenya Forest,"Population, Female",Persons,2019,190
Mt Kenya Forest,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,109.4736842
Mt Kenya Forest,Land Area (Sq. Km),sq. km,2019,360.1
Mt Kenya Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,1
Mt Kenya Forest,Population (Excludes the special population),Persons,2019,171
Mt Kenya Forest,Number of Households,Number,2019,113
Mt Kenya Forest,Average Household size,,2019,2
Embu East,"Population, Total",Persons,2019,129564
Embu East,"Population, Male",Persons,2019,64571
Embu East,"Population, Female",Persons,2019,64991
Embu East,"Population, Intersex",Persons,2019,2
Embu East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.35375667
Embu East,Land Area (Sq. Km),sq. km,2019,253.3
Embu East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,512
Embu East,Population (Excludes the special population),Persons,2019,129097
Embu East,Number of Households,Number,2019,39678
Embu East,Average Household size,,2019,3
Embu North,"Population, Total",Persons,2019,79556
Embu North,"Population, Male",Persons,2019,39665
Embu North,"Population, Female",Persons,2019,39888
Embu North,"Population, Intersex",Persons,2019,3
Embu North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.44093462
Embu North,Land Area (Sq. Km),sq. km,2019,110.6
Embu North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,719
Embu North,Population (Excludes the special population),Persons,2019,79465
Embu North,Number of Households,Number,2019,24300
Embu North,Average Household size,,2019,3
Embu West,"Population, Total",Persons,2019,127100
Embu West,"Population, Male",Persons,2019,63125
Embu West,"Population, Female",Persons,2019,63966
Embu West,"Population, Intersex",Persons,2019,9
Embu West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.68523903
Embu West,Land Area (Sq. Km),sq. km,2019,158.1
Embu West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,804
Embu West,Population (Excludes the special population),Persons,2019,124616
Embu West,Number of Households,Number,2019,43153
Embu West,Average Household size,,2019,3
Mbeere South,"Population, Total",Persons,2019,163476
Mbeere South,"Population, Male",Persons,2019,83311
Mbeere South,"Population, Female",Persons,2019,80159
Mbeere South,"Population, Intersex",Persons,2019,6
Mbeere South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.9321848
Mbeere South,Land Area (Sq. Km),sq. km,2019,1312.1
Mbeere South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,125
Mbeere South,Population (Excludes the special population),Persons,2019,162918
Mbeere South,Number of Households,Number,2019,46065
Mbeere South,Average Household size,,2019,4
Mbeere North,"Population, Total",Persons,2019,108881
Mbeere North,"Population, Male",Persons,2019,53517
Mbeere North,"Population, Female",Persons,2019,55360
Mbeere North,"Population, Intersex",Persons,2019,4
Mbeere North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.6708815
Mbeere North,Land Area (Sq. Km),sq. km,2019,783.6
Mbeere North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,139
Mbeere North,Population (Excludes the special population),Persons,2019,108651
Mbeere North,Number of Households,Number,2019,29528
Mbeere North,Average Household size,,2019,4
Mt Kenya Forest,"Population, Total",Persons,2019,22
Mt Kenya Forest,"Population, Male",Persons,2019,19
Mt Kenya Forest,"Population, Female",Persons,2019,3
Mt Kenya Forest,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,633.3333333
Mt Kenya Forest,Land Area (Sq. Km),sq. km,2019,203
Mt Kenya Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Mt Kenya Forest,Population (Excludes the special population),Persons,2019,22
Mt Kenya Forest,Number of Households,Number,2019,19
Mt Kenya Forest,Average Household size,,2019,1
Ikutha,"Population, Total",Persons,2019,82964
Ikutha,"Population, Male",Persons,2019,39986
Ikutha,"Population, Female",Persons,2019,42976
Ikutha,"Population, Intersex",Persons,2019,2
Ikutha,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.04262844
Ikutha,Land Area (Sq. Km),sq. km,2019,9033.1
Ikutha,Population Density (No. per Sq. Km),No. per Sq. Km,2019,9
Ikutha,Population (Excludes the special population),Persons,2019,82463
Ikutha,Number of Households,Number,2019,16679
Ikutha,Average Household size,,2019,5
Katulani,"Population, Total",Persons,2019,47108
Katulani,"Population, Male",Persons,2019,23150
Katulani,"Population, Female",Persons,2019,23957
Katulani,"Population, Intersex",Persons,2019,1
Katulani,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.63146471
Katulani,Land Area (Sq. Km),sq. km,2019,323.7
Katulani,Population Density (No. per Sq. Km),No. per Sq. Km,2019,146
Katulani,Population (Excludes the special population),Persons,2019,46913
Katulani,Number of Households,Number,2019,12170
Katulani,Average Household size,,2019,4
Kisasi,"Population, Total",Persons,2019,46142
Kisasi,"Population, Male",Persons,2019,22646
Kisasi,"Population, Female",Persons,2019,23496
Kisasi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.38236296
Kisasi,Land Area (Sq. Km),sq. km,2019,294.6
Kisasi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,157
Kisasi,Population (Excludes the special population),Persons,2019,46003
Kisasi,Number of Households,Number,2019,10866
Kisasi,Average Household size,,2019,4
Kitui Central,"Population, Total",Persons,2019,105991
Kitui Central,"Population, Male",Persons,2019,52123
Kitui Central,"Population, Female",Persons,2019,53863
Kitui Central,"Population, Intersex",Persons,2019,5
Kitui Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.76958209
Kitui Central,Land Area (Sq. Km),sq. km,2019,421.8
Kitui Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,251
Kitui Central,Population (Excludes the special population),Persons,2019,104128
Kitui Central,Number of Households,Number,2019,29057
Kitui Central,Average Household size,,2019,4
Kitui West,"Population, Total",Persons,2019,70871
Kitui West,"Population, Male",Persons,2019,33887
Kitui West,"Population, Female",Persons,2019,36983
Kitui West,"Population, Intersex",Persons,2019,1
Kitui West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.62858611
Kitui West,Land Area (Sq. Km),sq. km,2019,416.4
Kitui West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,170
Kitui West,Population (Excludes the special population),Persons,2019,70635
Kitui West,Number of Households,Number,2019,17497
Kitui West,Average Household size,,2019,4
Kyuso,"Population, Total",Persons,2019,76867
Kyuso,"Population, Male",Persons,2019,36789
Kyuso,"Population, Female",Persons,2019,40077
Kyuso,"Population, Intersex",Persons,2019,1
Kyuso,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.7957931
Kyuso,Land Area (Sq. Km),sq. km,2019,2524.5
Kyuso,Population Density (No. per Sq. Km),No. per Sq. Km,2019,30
Kyuso,Population (Excludes the special population),Persons,2019,76452
Kyuso,Number of Households,Number,2019,15993
Kyuso,Average Household size,,2019,5
Lower Yatta,"Population, Total",Persons,2019,63329
Lower Yatta,"Population, Male",Persons,2019,31701
Lower Yatta,"Population, Female",Persons,2019,31628
Lower Yatta,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.2308081
Lower Yatta,Land Area (Sq. Km),sq. km,2019,1191
Lower Yatta,Population Density (No. per Sq. Km),No. per Sq. Km,2019,53
Lower Yatta,Population (Excludes the special population),Persons,2019,62938
Lower Yatta,Number of Households,Number,2019,15454
Lower Yatta,Average Household size,,2019,4
Matinyani,"Population, Total",Persons,2019,47811
Matinyani,"Population, Male",Persons,2019,23362
Matinyani,"Population, Female",Persons,2019,24448
Matinyani,"Population, Intersex",Persons,2019,1
Matinyani,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,95.55791885
Matinyani,Land Area (Sq. Km),sq. km,2019,264.2
Matinyani,Population Density (No. per Sq. Km),No. per Sq. Km,2019,181
Matinyani,Population (Excludes the special population),Persons,2019,47802
Matinyani,Number of Households,Number,2019,11513
Matinyani,Average Household size,,2019,4
Migwani,"Population, Total",Persons,2019,79255
Migwani,"Population, Male",Persons,2019,37525
Migwani,"Population, Female",Persons,2019,41726
Migwani,"Population, Intersex",Persons,2019,4
Migwani,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,89.93193692
Migwani,Land Area (Sq. Km),sq. km,2019,634.5
Migwani,Population Density (No. per Sq. Km),No. per Sq. Km,2019,125
Migwani,Population (Excludes the special population),Persons,2019,79066
Migwani,Number of Households,Number,2019,19096
Migwani,Average Household size,,2019,4
Mumoni,"Population, Total",Persons,2019,29344
Mumoni,"Population, Male",Persons,2019,13748
Mumoni,"Population, Female",Persons,2019,15596
Mumoni,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,88.1508079
Mumoni,Land Area (Sq. Km),sq. km,2019,611.4
Mumoni,Population Density (No. per Sq. Km),No. per Sq. Km,2019,48
Mumoni,Population (Excludes the special population),Persons,2019,29321
Mumoni,Number of Households,Number,2019,6496
Mumoni,Average Household size,,2019,5
Mutitu,"Population, Total",Persons,2019,55287
Mutitu,"Population, Male",Persons,2019,26388
Mutitu,"Population, Female",Persons,2019,28896
Mutitu,"Population, Intersex",Persons,2019,3
Mutitu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,91.32059801
Mutitu,Land Area (Sq. Km),sq. km,2019,5359.8
Mutitu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,10
Mutitu,Population (Excludes the special population),Persons,2019,55136
Mutitu,Number of Households,Number,2019,11521
Mutitu,Average Household size,,2019,5
Mutitu North,"Population, Total",Persons,2019,21215
Mutitu North,"Population, Male",Persons,2019,10337
Mutitu North,"Population, Female",Persons,2019,10877
Mutitu North,"Population, Intersex",Persons,2019,1
Mutitu North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,95.03539579
Mutitu North,Land Area (Sq. Km),sq. km,2019,548.3
Mutitu North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,39
Mutitu North,Population (Excludes the special population),Persons,2019,21128
Mutitu North,Number of Households,Number,2019,4929
Mutitu North,Average Household size,,2019,4
Mutomo,"Population, Total",Persons,2019,113356
Mutomo,"Population, Male",Persons,2019,54819
Mutomo,"Population, Female",Persons,2019,58531
Mutomo,"Population, Intersex",Persons,2019,6
Mutomo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.65806154
Mutomo,Land Area (Sq. Km),sq. km,2019,2202.9
Mutomo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,51
Mutomo,Population (Excludes the special population),Persons,2019,112703
Mutomo,Number of Households,Number,2019,23044
Mutomo,Average Household size,,2019,5
Mwingi Central,"Population, Total",Persons,2019,108713
Mwingi Central,"Population, Male",Persons,2019,52539
Mwingi Central,"Population, Female",Persons,2019,56174
Mwingi Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.52903478
Mwingi Central,Land Area (Sq. Km),sq. km,2019,1146.4
Mwingi Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,95
Mwingi Central,Population (Excludes the special population),Persons,2019,107973
Mwingi Central,Number of Households,Number,2019,26753
Mwingi Central,Average Household size,,2019,4
Mwingi East,"Population, Total",Persons,2019,85139
Mwingi East,"Population, Male",Persons,2019,40314
Mwingi East,"Population, Female",Persons,2019,44820
Mwingi East,"Population, Intersex",Persons,2019,5
Mwingi East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,89.94645248
Mwingi East,Land Area (Sq. Km),sq. km,2019,3418.5
Mwingi East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,25
Mwingi East,Population (Excludes the special population),Persons,2019,84973
Mwingi East,Number of Households,Number,2019,18730
Mwingi East,Average Household size,,2019,5
Nzambani,"Population, Total",Persons,2019,46788
Nzambani,"Population, Male",Persons,2019,22929
Nzambani,"Population, Female",Persons,2019,23857
Nzambani,"Population, Intersex",Persons,2019,2
Nzambani,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.11015635
Nzambani,Land Area (Sq. Km),sq. km,2019,319.7
Nzambani,Population Density (No. per Sq. Km),No. per Sq. Km,2019,146
Nzambani,Population (Excludes the special population),Persons,2019,46710
Nzambani,Number of Households,Number,2019,11276
Nzambani,Average Household size,,2019,4
Thagicu,"Population, Total",Persons,2019,15136
Thagicu,"Population, Male",Persons,2019,7141
Thagicu,"Population, Female",Persons,2019,7994
Thagicu,"Population, Intersex",Persons,2019,1
Thagicu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,89.32949712
Thagicu,Land Area (Sq. Km),sq. km,2019,362.7
Thagicu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,42
Thagicu,Population (Excludes the special population),Persons,2019,15096
Thagicu,Number of Households,Number,2019,3289
Thagicu,Average Household size,,2019,5
Tseikuru,"Population, Total",Persons,2019,40871
Tseikuru,"Population, Male",Persons,2019,19619
Tseikuru,"Population, Female",Persons,2019,21252
Tseikuru,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.31601732
Tseikuru,Land Area (Sq. Km),sq. km,2019,1356
Tseikuru,Population Density (No. per Sq. Km),No. per Sq. Km,2019,30
Tseikuru,Population (Excludes the special population),Persons,2019,40694
Tseikuru,Number of Households,Number,2019,8579
Tseikuru,Average Household size,,2019,5
Athi River,"Population, Total",Persons,2019,322499
Athi River,"Population, Male",Persons,2019,164322
Athi River,"Population, Female",Persons,2019,158172
Athi River,"Population, Intersex",Persons,2019,5
Athi River,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.8881724
Athi River,Land Area (Sq. Km),sq. km,2019,827.2
Athi River,Population Density (No. per Sq. Km),No. per Sq. Km,2019,390
Athi River,Population (Excludes the special population),Persons,2019,319526
Athi River,Number of Households,Number,2019,109735
Athi River,Average Household size,,2019,3
Kalama,"Population, Total",Persons,2019,54462
Kalama,"Population, Male",Persons,2019,26764
Kalama,"Population, Female",Persons,2019,27692
Kalama,"Population, Intersex",Persons,2019,6
Kalama,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.64885165
Kalama,Land Area (Sq. Km),sq. km,2019,487.2
Kalama,Population Density (No. per Sq. Km),No. per Sq. Km,2019,112
Kalama,Population (Excludes the special population),Persons,2019,54408
Kalama,Number of Households,Number,2019,14182
Kalama,Average Household size,,2019,4
Kangundo,"Population, Total",Persons,2019,97917
Kangundo,"Population, Male",Persons,2019,48697
Kangundo,"Population, Female",Persons,2019,49219
Kangundo,"Population, Intersex",Persons,2019,1
Kangundo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.93943396
Kangundo,Land Area (Sq. Km),sq. km,2019,172.7
Kangundo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,567
Kangundo,Population (Excludes the special population),Persons,2019,97700
Kangundo,Number of Households,Number,2019,26142
Kangundo,Average Household size,,2019,4
Kathiani,"Population, Total",Persons,2019,111890
Kathiani,"Population, Male",Persons,2019,54910
Kathiani,"Population, Female",Persons,2019,56976
Kathiani,"Population, Intersex",Persons,2019,4
Kathiani,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.37391182
Kathiani,Land Area (Sq. Km),sq. km,2019,205.6
Kathiani,Population Density (No. per Sq. Km),No. per Sq. Km,2019,544
Kathiani,Population (Excludes the special population),Persons,2019,111757
Kathiani,Number of Households,Number,2019,28730
Kathiani,Average Household size,,2019,4
Machakos (subreg),"Population, Total",Persons,2019,170606
Machakos (subreg),"Population, Male",Persons,2019,85486
Machakos (subreg),"Population, Female",Persons,2019,85114
Machakos (subreg),"Population, Intersex",Persons,2019,6
Machakos (subreg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.4370609
Machakos (subreg),Land Area (Sq. Km),sq. km,2019,280.2
Machakos (subreg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,609
Machakos (subreg),Population (Excludes the special population),Persons,2019,168255
Machakos (subreg),Number of Households,Number,2019,50979
Machakos (subreg),Average Household size,,2019,3
Masinga,"Population, Total",Persons,2019,148522
Masinga,"Population, Male",Persons,2019,73519
Masinga,"Population, Female",Persons,2019,75001
Masinga,"Population, Intersex",Persons,2019,2
Masinga,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.02402635
Masinga,Land Area (Sq. Km),sq. km,2019,1405.7
Masinga,Population Density (No. per Sq. Km),No. per Sq. Km,2019,106
Masinga,Population (Excludes the special population),Persons,2019,148181
Masinga,Number of Households,Number,2019,36251
Masinga,Average Household size,,2019,4
Matungulu,"Population, Total",Persons,2019,161557
Matungulu,"Population, Male",Persons,2019,81145
Matungulu,"Population, Female",Persons,2019,80407
Matungulu,"Population, Intersex",Persons,2019,5
Matungulu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.9178305
Matungulu,Land Area (Sq. Km),sq. km,2019,581.4
Matungulu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,278
Matungulu,Population (Excludes the special population),Persons,2019,161080
Matungulu,Number of Households,Number,2019,44454
Matungulu,Average Household size,,2019,4
Mwala,"Population, Total",Persons,2019,181896
Mwala,"Population, Male",Persons,2019,90427
Mwala,"Population, Female",Persons,2019,91466
Mwala,"Population, Intersex",Persons,2019,3
Mwala,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.86405878
Mwala,Land Area (Sq. Km),sq. km,2019,1020.3
Mwala,Population Density (No. per Sq. Km),No. per Sq. Km,2019,178
Mwala,Population (Excludes the special population),Persons,2019,181671
Mwala,Number of Households,Number,2019,45840
Mwala,Average Household size,,2019,4
Yatta,"Population, Total",Persons,2019,172583
Yatta,"Population, Male",Persons,2019,85437
Yatta,"Population, Female",Persons,2019,87144
Yatta,"Population, Intersex",Persons,2019,2
Yatta,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.04117323
Yatta,Land Area (Sq. Km),sq. km,2019,1062.4
Yatta,Population Density (No. per Sq. Km),No. per Sq. Km,2019,162
Yatta,Population (Excludes the special population),Persons,2019,171444
Yatta,Number of Households,Number,2019,46153
Yatta,Average Household size,,2019,4
Kathonzweni,"Population, Total",Persons,2019,79780
Kathonzweni,"Population, Male",Persons,2019,39335
Kathonzweni,"Population, Female",Persons,2019,40442
Kathonzweni,"Population, Intersex",Persons,2019,3
Kathonzweni,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.26274665
Kathonzweni,Land Area (Sq. Km),sq. km,2019,880.7
Kathonzweni,Population Density (No. per Sq. Km),No. per Sq. Km,2019,91
Kathonzweni,Population (Excludes the special population),Persons,2019,79281
Kathonzweni,Number of Households,Number,2019,18365
Kathonzweni,Average Household size,,2019,4
Kibwezi,"Population, Total",Persons,2019,197000
Kibwezi,"Population, Male",Persons,2019,98477
Kibwezi,"Population, Female",Persons,2019,98517
Kibwezi,"Population, Intersex",Persons,2019,6
Kibwezi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.95939787
Kibwezi,Land Area (Sq. Km),sq. km,2019,3137.4
Kibwezi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,63
Kibwezi,Population (Excludes the special population),Persons,2019,194004
Kibwezi,Number of Households,Number,2019,47912
Kibwezi,Average Household size,,2019,4
Kilungu,"Population, Total",Persons,2019,60952
Kilungu,"Population, Male",Persons,2019,29019
Kilungu,"Population, Female",Persons,2019,31932
Kilungu,"Population, Intersex",Persons,2019,1
Kilungu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.87748967
Kilungu,Land Area (Sq. Km),sq. km,2019,154.3
Kilungu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,395
Kilungu,Population (Excludes the special population),Persons,2019,60869
Kilungu,Number of Households,Number,2019,14586
Kilungu,Average Household size,,2019,4
Makindu,"Population, Total",Persons,2019,84946
Makindu,"Population, Male",Persons,2019,42204
Makindu,"Population, Female",Persons,2019,42742
Makindu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.74128492
Makindu,Land Area (Sq. Km),sq. km,2019,852.1
Makindu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,100
Makindu,Population (Excludes the special population),Persons,2019,83391
Makindu,Number of Households,Number,2019,21756
Makindu,Average Household size,,2019,4
