county,indicator,Unit,Date,Value
Isiolo (reg),"Population, Total",Persons,2019,268002
Isiolo (reg),"Population, Male",Persons,2019,139510
Isiolo (reg),"Population, Female",Persons,2019,128483
Isiolo (reg),"Population, Intersex",Persons,2019,9
Isiolo (reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,108.5824584
Isiolo (reg),Land Area (Sq. Km),sq. km,2019,25350.6
Isiolo (reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,11
Isiolo (reg),Population (Excludes the special population),Persons,2019,267997
Isiolo (reg),Number of Households,Number,2019,58072
Isiolo (reg),Average Household size,,2019,5
Meru,"Population, Total",Persons,2019,1545714
Meru,"Population, Male",Persons,2019,767698
Meru,"Population, Female",Persons,2019,777975
Meru,"Population, Intersex",Persons,2019,41
Meru,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.67900639
Meru,Land Area (Sq. Km),sq. km,2019,7006.3
Meru,Population Density (No. per Sq. Km),No. per Sq. Km,2019,221
Meru,Population (Excludes the special population),Persons,2019,1535635
Meru,Number of Households,Number,2019,426360
Meru,Average Household size,,2019,4
Tharaka-Nithi,"Population, Total",Persons,2019,393177
Tharaka-Nithi,"Population, Male",Persons,2019,193764
Tharaka-Nithi,"Population, Female",Persons,2019,199406
Tharaka-Nithi,"Population, Intersex",Persons,2019,7
Tharaka-Nithi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.17059667
Tharaka-Nithi,Land Area (Sq. Km),sq. km,2019,2564.4
Tharaka-Nithi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,153
Tharaka-Nithi,Population (Excludes the special population),Persons,2019,391303
Tharaka-Nithi,Number of Households,Number,2019,109860
Tharaka-Nithi,Average Household size,,2019,4
Embu,"Population, Total",Persons,2019,608599
Embu,"Population, Male",Persons,2019,304208
Embu,"Population, Female",Persons,2019,304367
Embu,"Population, Intersex",Persons,2019,24
Embu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.94776043
Embu,Land Area (Sq. Km),sq. km,2019,2820.7
Embu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,216
Embu,Population (Excludes the special population),Persons,2019,604769
Embu,Number of Households,Number,2019,182743
Embu,Average Household size,,2019,3
Kitui,"Population, Total",Persons,2019,1136187
Kitui,"Population, Male",Persons,2019,549003
Kitui,"Population, Female",Persons,2019,587151
Kitui,"Population, Intersex",Persons,2019,33
Kitui,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.50286383
Kitui,Land Area (Sq. Km),sq. km,2019,30429.5
Kitui,Population Density (No. per Sq. Km),No. per Sq. Km,2019,37
Kitui,Population (Excludes the special population),Persons,2019,1130134
Kitui,Number of Households,Number,2019,262942
Kitui,Average Household size,,2019,4
Machakos (reg),"Population, Total",Persons,2019,1421932
Machakos (reg),"Population, Male",Persons,2019,710707
Machakos (reg),"Population, Female",Persons,2019,711191
Machakos (reg),"Population, Intersex",Persons,2019,34
Machakos (reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.93194515
Machakos (reg),Land Area (Sq. Km),sq. km,2019,6042.7
Machakos (reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,235
Machakos (reg),Population (Excludes the special population),Persons,2019,1414022
Machakos (reg),Number of Households,Number,2019,402466
Machakos (reg),Average Household size,,2019,4
Makueni (reg),"Population, Total",Persons,2019,987653
Makueni (reg),"Population, Male",Persons,2019,489691
Makueni (reg),"Population, Female",Persons,2019,497942
Makueni (reg),"Population, Intersex",Persons,2019,20
Makueni (reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.3429797
Makueni (reg),Land Area (Sq. Km),sq. km,2019,8169.8
Makueni (reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,121
Makueni (reg),Population (Excludes the special population),Persons,2019,977015
Makueni (reg),Number of Households,Number,2019,244669
Makueni (reg),Average Household size,,2019,4
Nyandarua,"Population, Total",Persons,2019,638289
Nyandarua,"Population, Male",Persons,2019,315022
Nyandarua,"Population, Female",Persons,2019,323247
Nyandarua,"Population, Intersex",Persons,2019,20
Nyandarua,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.45550616
Nyandarua,Land Area (Sq. Km),sq. km,2019,3285.7
Nyandarua,Population Density (No. per Sq. Km),No. per Sq. Km,2019,194
Nyandarua,Population (Excludes the special population),Persons,2019,636002
Nyandarua,Number of Households,Number,2019,179686
Nyandarua,Average Household size,,2019,4
Kenya,"Population, Total",Persons,2019,47564296
Kenya,"Population, Male",Persons,2019,23548056
Kenya,"Population, Female",Persons,2019,24014716
Kenya,"Population, Intersex",Persons,2019,1524
Kenya,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.05677485
Kenya,Land Area (Sq. Km),sq. km,2019,580876.3
Kenya,Population Density (No. per Sq. Km),No. per Sq. Km,2019,82
Kenya,Population (Excludes the special population),Persons,2019,47213282
Kenya,Number of Households,Number,2019,12143913
Kenya,Average Household size,,2019,4
Changamwe,"Population, Total",Persons,2019,131882
Changamwe,"Population, Male",Persons,2019,68761
Changamwe,"Population, Female",Persons,2019,63121
Changamwe,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,108.9352197
Changamwe,Land Area (Sq. Km),sq. km,2019,17.7
Changamwe,Population Density (No. per Sq. Km),No. per Sq. Km,2019,7457
Changamwe,Population (Excludes the special population),Persons,2019,130541
Changamwe,Number of Households,Number,2019,46614
Changamwe,Average Household size,,2019,3
Jomvu,"Population, Total",Persons,2019,163415
Jomvu,"Population, Male",Persons,2019,83002
Jomvu,"Population, Female",Persons,2019,80410
Jomvu,"Population, Intersex",Persons,2019,3
Jomvu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.2234797
Jomvu,Land Area (Sq. Km),sq. km,2019,36.9
