,county,num_households,total_inhabitants,avg_household_size,avg_household_per_dwelling,pct_own_dwelling,avg_rooms_occupied,percent_grid_connect,percent_any_elect,percent_bank_account,percent_mobile_money,total_percent_batteries,total_percent_solar,total_percent_generator,grid_generator_pct,grid_battery_pct,grid_solar_pct,avg_electricity_use_grid,avg_typical_hours_elect_grid,avg_worst_hours_elect_grid,not_grid_generator_pct,not_grid_battery_pct,not_grid_solar_pct,avg_distance_to_connect
0,BARINGO,161541.02880859375,849708.6917724609,5.260017829769186,1.6156336187050149,0.8473088104760731,2.531691822819526,0.24313754076124242,0.7405163804908104,0.7016979502054049,0.9130766969039923,0.10332182700888257,0.5348104251354705,0.014128409902588995,0.0,0.0,0.15395230735947882,44.489646888129336,1.1645076550133395,3.5772369300343128,0.018667077128913443,0.13651334631235681,0.6571588188292825,1.7393103448275862
1,BOMET,189199.09455108643,774706.8194580078,4.094664518855962,1.0,0.9607482686211654,2.197016123784836,0.12626702162453726,0.7292191161462362,0.3869398737109901,0.9141850213647302,0.00742902443904721,0.6929340700759445,0.0,0.0,0.0,0.7714682641596657,85.36101833946374,0.7508457927650105,1.0297313729348714,0.0,0.00850262565670812,0.6815847459368096,23.05
2,BUNGOMA,427445.96478271484,2231895.688354492,5.221468611802289,2.0147237290565525,0.9277694791924987,2.8651976986205567,0.12726877665593983,0.4304205993226951,0.35749492557352264,0.8649574388741951,0.051955742600732865,0.3024355270444642,0.0,0.0,0.0,0.19290461555312327,41.48343118075761,13.806564943569807,13.865024460130124,0.0,0.05953235224202601,0.3184082168470581,14.242898550724638
3,BUSIA,137448.01874542236,790469.8459701538,5.751045763957074,2.042512599295328,0.9399295718068907,2.243526165752579,0.2112425137535958,0.5458584008204318,0.40602940384515024,0.9198999855520276,0.0,0.3372736987031037,0.0,0.0,0.0,0.012581802730144769,40.5007316193228,1.1071986402527396,1.1323622457130291,0.0,0.0,0.42423164648392775,1.128125
4,ELGEYO-MARAKWET,103071.21589660645,565743.801071167,5.4888631724174095,1.0,0.8974768544225089,2.3079915790983145,0.10375771079844842,0.7617475434914419,0.43205854696467333,0.9051802728308139,0.0,0.6941020073219842,0.001351959099590797,0.01302996268120262,0.0,0.3480432861432291,37.41012996571343,8.548488307655537,8.66575797178636,0.0,0.0,0.7341651254586373,40.033684
5,EMBU,175008.64575195312,756893.2956542969,4.324890878403074,1.4615076550354524,0.9535539575804969,3.9920387450222132,0.11777581501822372,0.7246822012126234,0.6423464391539484,0.9164907328594828,0.12020991769836013,0.53563066923983,0.0,0.0,0.0,0.0,58.56617064436703,2.6126916066904844,2.6126916066904844,0.0,0.1362577899639458,0.6071366874292778,68.8576923076923
6,GARISSA,131029.70405006409,414658.1530227661,3.1646118414823916,1.6182379184169189,0.7751858988934125,2.792108143377633,0.20747625497010175,0.5170655535122076,0.24608436898587552,0.783481393297815,0.09989978943056002,0.34923766814963564,0.0,0.0,0.0,0.19109834816154417,91.97054079675796,0.0,7.715604645195362,0.0,0.126052739816384,0.3906372528061307,531.3513513513514
7,HOMA BAY,213884.31103515625,825525.5502929688,3.859682583998771,1.5622991306661795,0.8476915714709591,2.9073407213886795,0.2021500303666326,0.5571504732649614,0.3058622790313622,0.7172520837595311,0.06859076162233028,0.31101212241068305,0.02992753760544227,0.0,0.0,0.0,79.46530168999179,12.191928569559142,23.32613471537348,0.03751023217960984,0.08596949831789742,0.3898127896822521,211.92118421052632
8,ISIOLO,45659.12947654724,172270.46947860718,3.77296876777061,1.1158358073074415,0.8749231768474224,3.0177046242996335,0.291038273420897,0.37831403863127383,0.2903518759279227,0.6534704986478249,0.00039587892594678735,0.08729593181734428,0.0,0.0,0.0,0.000749406830164181,106.32774764352587,0.0,6.005273850204386,0.0,0.0005583925212112516,0.1228244381647698,194.8670810810811
9,KAJIADO,230538.3558807373,1131714.0584716797,4.909005506472601,1.2757574431775207,0.8919504195444067,3.106562878778796,0.44683260909087685,0.7418277609890854,0.6142843418727647,0.8885045420965876,0.019051127558453174,0.29643250592595405,0.019051127558453174,0.0,0.0,0.08848863834065045,109.61462219829055,0.0,14.350891158013134,0.03444007703914524,0.03444007703914524,0.46440354403230855,145.02982692307694
10,KAKAMEGA,545905.6492156982,2361904.224029541,4.3265795608140065,1.572235792036961,0.8978315180451454,2.826134904470553,0.15713360885548544,0.46666429251049374,0.27020387140415,0.7969544670393869,0.07257841506824188,0.3183176597014604,0.0,0.0,0.009177731671690786,0.2650651246162322,50.243125032483135,13.31237438733365,14.517567678362447,0.0,0.08439805610586397,0.32824540519773393,92.81310344827585
11,KERICHO,212818.82621765137,970770.0406188965,4.561485738231085,1.2645180997196825,0.9791582626279215,2.253149994498987,0.3200004535718348,0.6951322185791975,0.5024310957776826,0.7437325639639578,0.0,0.595614607687291,0.0,0.0,0.0,0.6890079067667121,40.85193656422829,8.566986374008573,12.009488060051975,0.0,0.0,0.5516647282749202,307.61246153846156
12,KIAMBU,623631.0821990967,2040102.760055542,3.271329505998277,3.019256500343265,0.553244257414634,2.512047773295132,0.772467304050728,0.8579319195042348,0.6970121565506459,0.9190230637443813,0.011133444607814413,0.1568364210964327,0.023472831040279064,0.02497516037848335,0.0063588289780623225,0.09239459750420588,76.5715411185936,4.5101923456524355,4.778391670191014,0.018372463865190918,0.027343134595469432,0.37561465659669796,116.37484193548387
13,KILIFI,267144.1186885834,1422335.424276352,5.324225108374571,1.8616879837473046,0.8581397067299285,2.9147073517547804,0.3148788795017099,0.4956542842841518,0.5457952696247425,0.8008457212580727,0.03168703802833398,0.20959297822854073,0.0199206825229537,0.0,0.00021671316047255402,0.1737281924662542,81.26339036780608,0.0,4.944590486234437,0.02907614716134476,0.046150671297645426,0.22607628784565512,122.09378848484849
14,KIRINYAGA,204959.2819519043,731743.9674072266,3.5701918958661136,1.539547714605365,0.7483777293488302,2.4009132796336754,0.32391488723596784,0.6589750772374341,0.5585083253701733,0.8149711164367877,0.17382274673476922,0.3333550898400677,0.03903389638570925,0.12050664518322543,0.0,0.03570983662790714,134.3503244180933,15.288913870977199,15.803682200824309,0.0,0.2571018699467163,0.47595803554963806,85.22047619047619
15,KISII,325445.4411621094,1286689.3999023438,3.953625514948983,1.485058917824398,1.0,3.4808350157986254,0.3645006432053444,0.5200367896156497,0.42186945334427445,0.784083271785141,0.0436449902620584,0.17157793076376004,0.01346898848171006,0.0,0.0,0.09755399387860335,122.60050601928728,6.480465053801795,7.892816323694233,0.021194338495707083,0.06867826032459871,0.21403552307875884,254.47000892857142
16,KISUMU,301423.57872772217,1310136.9924087524,4.346498034223817,1.7555463683220798,0.759503695291803,2.489644236222323,0.33053253248685527,0.6737502775934151,0.4077260430678084,0.867439524963983,0.0317781026753923,0.365813818740319,0.013459629063098721,0.0,0.0,0.16326637480052475,69.7366926064874,11.673977795115313,16.342453954231143,0.020104978533306322,0.04746773251497594,0.46581646687922207,79.40814035087719
17,KITUI,209723.35001850128,832583.718167305,3.969914261305937,1.4075521615839448,0.8731550107429219,3.59364762244782,0.14680054991529065,0.4523462759230743,0.44272427261389147,0.7371711782373265,0.04321749705466354,0.2968695799889227,0.0,0.0,0.0,0.13409578938428338,71.97790188514776,0.0,13.58233555161485,0.0,0.050653451605451365,0.32487625764229555,131.02850674157304
18,KWALE,170790.9576396942,866892.410615921,5.0757512142109045,1.099767718649026,0.9498999017787398,3.527714642050146,0.18631094888035823,0.36844861721348077,0.2973118679685501,0.6447117764523718,0.0,0.2151386794515369,0.0071276067354655555,0.03825651030333505,0.0,0.1771286728811969,99.27058156830917,0.0,7.336503140288246,0.0,0.0,0.22384185713510563,139.1998969072165
19,LAIKIPIA,131955.22381591797,588115.6972045898,4.456933800703724,1.6581772846625742,0.683979834584734,3.4364043384417617,0.2727724042403675,0.6996730407892736,0.4322716249794774,0.7304046826775167,0.0,0.5076545400770289,0.0,0.0,0.0,0.2960486554826212,120.58090540894918,3.552583865791455,1.7762919328957274,0.0,0.0,0.5870248035664584,25.958708695652174
20,LAMU,29482.739135742188,104429.35473632812,3.5420506302186654,1.1420053947001456,0.8219512079695698,2.493992767111619,0.10813019199085383,0.4631436787412179,0.6130533275687382,0.9800812800958638,0.07100269735007282,0.2840107894002913,0.012014465776761536,0.1111111111111111,0.0,0.0,90.74444444444444,0.0,2.6666666666666665,0.0,0.07961105613448985,0.3184442245379594,65.78571428571429
21,MACHAKOS,348961.7597961426,1036144.4557189941,2.969220628427286,1.5680874713227786,0.6602379176994225,3.2096529962258926,0.4946514713756891,0.7615347600407854,0.5598601749795348,0.9734072410614493,0.0021291224008003766,0.27123548683520265,0.031463554628427495,0.020516280858673606,0.0,0.056194044279558965,53.06173833723172,8.730829756199652,8.317618106574137,0.04217909998185418,0.004213176214436396,0.48172500039224814,17.603867924528302
22,MAKUENI,247563.49963378906,1001630.1548461914,4.0459524781636365,1.537604284872483,0.9808691473618524,3.5163840116089533,0.18742926154112816,0.5235507608572346,0.3851423681032388,0.8977984873651831,0.14913455198791428,0.35608036907596013,0.017399792021577144,0.09283391439793436,0.19760975175675882,0.30946021138522695,71.29472706936727,0.0,12.697177403914864,0.0,0.1379531612908223,0.36683387189773,12.887406329113924
