County,hotel_locations,towns_in_county,Percent_trees,Percent_shrub,Percent_urban,rivers_in_county,roads_in_county,Area (km2),Population (2019 Census),avg_household_size,avg_household_per_dwelling,pct_own_dwelling,avg_rooms_occupied,percent_grid_connect,percent_any_elect,percent_bank_account,percent_mobile_money,total_percent_batteries,total_percent_solar,total_percent_generator,grid_generator_pct,grid_battery_pct,grid_solar_pct,avg_electricity_use_grid,avg_typical_hours_elect_grid,avg_worst_hours_elect_grid,not_grid_generator_pct,not_grid_battery_pct,not_grid_solar_pct,avg_distance_to_connect,GDP percapita in US dollar (PPP)
kitui,1.0,2.0,0.0500685623284985,0.1811462580571887,0.0001879661742151,235.0,18.0,24385.1,1136187.0,3.969914261305937,1.4075521615839448,0.8731550107429219,3.59364762244782,0.1468005499152906,0.4523462759230743,0.4427242726138914,0.7371711782373265,0.0432174970546635,0.2968695799889227,0.0,0.0,0.0,0.1340957893842833,71.97790188514776,0.0,13.58233555161485,0.0,0.0506534516054513,0.3248762576422955,131.02850674157304,1784.91744756805
makueni,3.0,1.0,0.0296516017737708,0.1537523239074524,0.0005409841348224,55.0,8.0,8008.9,987653.0,4.0459524781636365,1.537604284872483,0.9808691473618524,3.5163840116089533,0.1874292615411281,0.5235507608572346,0.3851423681032388,0.8977984873651831,0.1491345519879142,0.3560803690759601,0.0173997920215771,0.0928339143979343,0.1976097517567588,0.3094602113852269,71.29472706936727,0.0,12.697177403914864,0.0,0.1379531612908223,0.36683387189773,12.887406329113924,2040.190228754431
kirinyaga,0.0,0.0,0.2066146063390627,0.1234986822698082,0.0041589500018008,11.0,13.0,1205.4,610411.0,3.5701918958661136,1.539547714605365,0.7483777293488302,2.4009132796336754,0.3239148872359678,0.6589750772374341,0.5585083253701733,0.8149711164367877,0.1738227467347692,0.3333550898400677,0.0390338963857092,0.1205066451832254,0.0,0.0357098366279071,134.3503244180933,15.2889138709772,15.803682200824309,0.0,0.2571018699467163,0.475958035549638,85.22047619047619,3297.7780544583893
migori,0.0,0.0,3.513749826148772e-06,0.0076905031028043,0.0035219821490505,28.0,6.0,2586.4,1116436.0,5.295245345202965,1.4145053604857591,0.9357705029728566,3.030838721986344,0.0667052977913073,0.3941698476730188,0.4248350546413844,0.8376996452903142,0.019885045922114,0.3664067516681373,0.0,0.0,0.0,0.5948792162411718,40.2678173085484,9.084368238385562,9.644579766671988,0.0,0.0213062882228463,0.3500771574355856,31.671563793103445,1722.445352890806
siaya,0.0,1.0,0.0,0.0023039583989479,0.006095970333513,31.0,8.0,2496.1,993183.0,4.122473359843915,1.0416770459914215,0.9477870267770644,2.341357541986379,0.1510394906898163,0.4828252516998024,0.2945426545369607,0.8106134996781666,0.0594133672305046,0.3484647261032418,0.0,0.0,0.0,0.1104278425270161,52.85121527865645,9.177366996335827,9.011367944255388,0.0,0.0699836642328398,0.3908141278321368,31.798305084745763,1915.0549294540888
baringo,5.0,1.0,0.0440764125733199,0.2675406114892275,0.0001874758993692,140.0,8.0,11075.3,666763.0,5.260017829769186,1.6156336187050149,0.8473088104760731,2.531691822819526,0.2431375407612424,0.7405163804908104,0.7016979502054049,0.9130766969039924,0.1033218270088825,0.5348104251354705,0.0141284099025889,0.0,0.0,0.1539523073594788,44.489646888129336,1.1645076550133395,3.5772369300343128,0.0186670771289134,0.1365133463123568,0.6571588188292825,1.7393103448275862,2780.5982035595857
busia,0.0,0.0,0.0,0.0234588074927937,0.0015001880263775,19.0,4.0,1628.4,893681.0,5.751045763957074,2.042512599295328,0.9399295718068909,2.243526165752579,0.2112425137535958,0.5458584008204318,0.4060294038451502,0.9198999855520276,0.0,0.3372736987031037,0.0,0.0,0.0,0.0125818027301447,40.5007316193228,1.1071986402527396,1.1323622457130291,0.0,0.0,0.4242316464839277,1.128125,1936.9327534097736
kwale,2.0,1.0,0.1426940888232587,0.3340287608993423,0.0003006034190954,70.0,13.0,8270.3,866820.0,5.0757512142109045,1.099767718649026,0.9498999017787398,3.527714642050146,0.1863109488803582,0.3684486172134807,0.2973118679685501,0.6447117764523718,0.0,0.2151386794515369,0.0071276067354655,0.038256510303335,0.0,0.1771286728811969,99.27058156830915,0.0,7.336503140288246,0.0,0.0,0.2238418571351056,139.1998969072165,1987.7252486098612
laikipia,2.0,3.0,0.064300106940056,0.1783510120916265,0.0008916718668313,91.0,10.0,8696.1,518560.0,4.456933800703724,1.6581772846625742,0.683979834584734,3.4364043384417617,0.2727724042403675,0.6996730407892736,0.4322716249794774,0.7304046826775167,0.0,0.5076545400770289,0.0,0.0,0.0,0.2960486554826212,120.58090540894918,3.552583865791455,1.7762919328957274,0.0,0.0,0.5870248035664584,25.958708695652174,3122.107374267201
turkana,2.0,2.0,0.028548128711344,0.2308806798449763,2.3699978458142293e-05,368.0,8.0,98597.8,1504976.0,3.772297851171227,2.008669156662995,0.8093546240041306,2.2810048763354542,0.0076794294681132,0.2492955554824922,0.1008693522755835,0.3885476176290774,0.0460522836089349,0.2430126337305798,0.0005385580082734,0.0639957158386615,0.0,0.1879846861572354,57.555985125383046,0.0,16.783693812612476,4.747197995075903e-05,0.0464086757611512,0.2434384872850799,461.6373930434783,1038.55476765078
tharaka-nithi,0.0,1.0,0.1630315194670905,0.1021911697710112,0.0022760623624703,28.0,4.0,2609.5,393177.0,3.943831796676115,1.5607754490011558,0.991725583022574,2.5317453708494964,0.1809197597353157,0.4786974561364204,0.6900748023138001,0.8604105701737849,0.0,0.3238326204287848,0.0,0.0,0.0,0.1440137001386595,42.266327197865685,4.734429185350394,4.313201836469637,0.0,0.0,0.3635513125122863,6.354916666666667,3438.654855192445
vihiga,0.0,0.0,0.0316959265317387,0.0,0.0,6.0,7.0,531.3,590013.0,2.888884993496839,1.0809377463731844,0.96178505841254,3.547754023495317,0.2567528954666445,0.4657155010224619,0.1615161388481885,0.5720693920705837,0.0,0.2440414981101284,0.0,0.0,0.0,0.1366251098767772,50.99899698843936,8.923966776973312,10.251655646205023,0.0,0.0,0.2811482268565495,1.0433333333333334,1998.261055264884
taita–taveta,1.0,1.0,0.08216409836424296,0.10096757203690135,0.0009618101959820001,34.5,8.0,17083.9,340671.0,4.077363392497667,1.5096443816882763,0.8800780938447262,2.8456663015455548,0.2057890620545652,0.5659093877475225,0.4233522539928294,0.8127923080574772,0.0205174299818488,0.3210751400651226,0.0008528431274374001,0.0,0.0,0.14031940500771833,66.17343213573308,4.170516409705161,8.755063202135805,0.0,0.0308916058173073,0.382713723139475,77.12990350877193,3011.7033736361477
west pokot,0.0,1.0,0.0962737776490911,0.4479467423198729,0.0001803678446587,137.0,6.0,8418.2,621241.0,6.364628869478702,1.7339204057104023,0.878822485131242,2.9000741163162527,0.1723983618546797,0.3977643387154219,0.3605235655074524,0.6465452154557745,0.0102353971543467,0.2533475687820953,0.0011671282466014,0.0,0.0,0.1636479769613885,37.1131467704539,0.0,8.991437130409626,0.0014102536689233,0.0123675409551926,0.2720329627882971,83.53837476635515,1503.442303389506
garissa,0.0,1.0,0.1658517051481679,0.2989472701266944,0.0008012471962588,96.0,5.0,45720.2,841353.0,3.164611841482392,1.6182379184169189,0.7751858988934125,2.792108143377633,0.2074762549701017,0.5170655535122076,0.2460843689858755,0.783481393297815,0.09989978943056,0.3492376681496356,0.0,0.0,0.0,0.1910983481615441,91.97054079675796,0.0,7.715604645195362,0.0,0.126052739816384,0.3906372528061307,531.3513513513514,935.3981028177234
wajir,0.0,1.0,0.0089285721832863,0.3089239484817577,0.0003453159020827,168.0,3.0,55840.6,781263.0,6.506423816117174,1.345176143295232,0.9198841148275192,1.4735037673181564,0.4487058781538582,0.4630020571156785,0.2435249054597944,0.6272021759900879,0.0006848181188181,0.0308562487339909,0.0060633814390024,0.0135130421378687,0.0015262071485128,0.036906291132857,71.27415954011957,0.0,8.844368432485247,0.0,0.0,0.0259320359048017,327.10726530612243,949.7441962565742
mandera,0.0,1.0,0.0170696443296639,0.3329850766521272,0.0017836060630622,201.0,0.0,25797.7,867457.0,4.387259809762932,1.5342298455521548,0.9374992831561269,1.948621105145788,0.1296298059187674,0.5995233078088191,0.0646618019426695,0.5646603768552195,0.0,0.5094290025480052,0.0065244767011179,0.0212592001252685,0.0,0.3049877331663086,70.0089128252061,0.0,12.43581352210698,0.0043299399962441,0.0,0.5398777498189421,595.6060606060606,808.1092203993974
marsabit,7.0,2.0,0.0075553582505267,0.1872064232198853,2.672624947372425e-05,161.0,5.0,66923.1,459785.0,3.92019325044028,1.2447134347136577,0.9247376922924648,1.9101814212206951,0.1172883513940695,0.4321184689456649,0.1911064397813555,0.3034893749460017,0.0133522445632567,0.3255056144115248,0.0,0.0,0.0,0.1169912887394931,78.14497159235687,0.0,8.637704641251212,0.0,0.0151263944282869,0.3532114927000266,548.2688888888889,1478.9521189251498
tana river,2.0,0.0,0.0916860218444722,0.3903793268925272,0.0003566260248232,252.0,7.0,35375.8,315943.0,3.93482423067508,1.1477337887519032,0.8715607097555041,1.825265127357216,0.1577523939184064,0.377323733955333,0.3568500299775805,0.5034471184088021,0.0,0.2195713400369265,0.0,0.0,0.0,0.0,69.41820514987454,0.0,5.6992797977854766,0.0,0.0,0.2606969001175829,337.74594594594595,2117.4705563978314
lamu,2.0,1.0,0.406054209914277,0.1165690078509086,0.0001125442053399,21.0,0.0,6497.7,143920.0,3.5420506302186654,1.1420053947001456,0.8219512079695698,2.493992767111619,0.1081301919908538,0.4631436787412179,0.6130533275687382,0.9800812800958638,0.0710026973500728,0.2840107894002913,0.0120144657767615,0.1111111111111111,0.0,0.0,90.74444444444444,0.0,2.6666666666666665,0.0,0.0796110561344898,0.3184442245379594,65.78571428571429,4495.553085047249
samburu,3.0,1.0,0.0726421748840137,0.2837958174230872,0.0001160974654701,162.0,5.0,20182.5,310327.0,3.3668344813040374,1.1928105198884469,0.7350690035541749,2.88611698077537,0.1707276979839699,0.9892884440548372,0.200498314259024,0.6761810651484195,0.5149865419626376,0.880545590046034,0.049937103658587,0.0,0.0,0.3683277435477617,88.37358533952744,0.0,10.601769035271897,0.0602179809179514,0.6210101805048381,0.9859992191933704,18.146906666666663,1704.653478427594
isiolo,5.0,1.0,0.0361808580421986,0.276759657980779,0.0003467541063322,235.0,3.0,25336.1,268002.0,3.77296876777061,1.1158358073074417,0.8749231768474224,3.017704624299633,0.291038273420897,0.3783140386312738,0.2903518759279227,0.6534704986478249,0.0003958789259467,0.0872959318173442,0.0,0.0,0.0,0.0007494068301641,106.32774764352588,0.0,6.005273850204386,0.0,0.0005583925212112,0.1228244381647698,194.8670810810811,1179.09567839046
